Latitude,Lat Temp Mod,Diurnal Temp Range
0.091,16.97,9.01
0.213,16.93,9.03
1.315,16.53,9.20
2.909,15.88,9.45
5.782,14.49,9.89
6.989,13.83,10.08
9.475,12.34,10.46
14.440,8.64,11.19
16.784,7.01,11.52
19.616,5.75,11.92
21.028,5.33,12.11
22.531,4.92,12.31
24.288,4.35,12.53
27.934,2.21,12.98
31.863,-3.37,13.43
32.765,-5.38,13.52
33.513,-7.07,13.60
37.445,-13.78,13.98
38.604,-15.41,14.08
39.778,-16.97,14.18
41.869,-19.53,14.35
42.506,-20.27,14.40
44.554,-22.53,14.54
48.289,-26.15,14.75
53.328,-29.95,14.90
56.117,-31.62,14.86
59.440,-32.97,14.42
60.698,-33.36,14.15
64.276,-34.39,13.22
66.922,-35.35,12.46
70.663,-37.46,11.27
77.654,-43.16,7.67
80.923,-45.84,6.32
82.752,-47.16,5.80
85.216,-48.64,5.32
85.460,-48.76,5.29
85.545,-48.80,5.28
